name	location	description	type	advanced	default	depends	group	max	min
PARAM_ASSERTIONS_DISABLE_ALL	src/common/pico_base/include/pico/assert.h:22	Global assert disable	bool		0		pico_base		
PARAM_ASSERTIONS_ENABLED_ADC	src/rp2_common/hardware_adc/include/hardware/adc.h:47	Enable/disable assertions in the ADC module	bool		0		hardware_adc		
PARAM_ASSERTIONS_ENABLED_ADDRESS_ALIAS	src/rp2_common/hardware_base/include/hardware/address_mapped.h:58	Enable/disable assertions in memory address aliasing macros	bool		0		hardware_base		
PARAM_ASSERTIONS_ENABLED_CLOCKS	src/rp2_common/hardware_clocks/include/hardware/clocks.h:92	Enable/disable assertions in the clocks module	bool		0		hardware_clocks		
PARAM_ASSERTIONS_ENABLED_DMA	src/rp2_common/hardware_dma/include/hardware/dma.h:44	Enable/disable DMA assertions	bool		0		hardware_dma		
PARAM_ASSERTIONS_ENABLED_EXCEPTION	src/rp2_common/hardware_exception/include/hardware/exception.h:27	Enable/disable assertions in the exception module	bool		0		hardware_exception		
PARAM_ASSERTIONS_ENABLED_FLASH	src/rp2_common/hardware_flash/include/hardware/flash.h:36	Enable/disable assertions in the flash module	bool		0		hardware_flash		
PARAM_ASSERTIONS_ENABLED_GPIO	src/rp2_common/hardware_gpio/include/hardware/gpio.h:18	Enable/disable assertions in the GPIO module	bool		0		hardware_gpio		
PARAM_ASSERTIONS_ENABLED_I2C	src/rp2_common/hardware_i2c/include/hardware/i2c.h:15	Enable/disable assertions in the I2C module	bool		0		hardware_i2c		
PARAM_ASSERTIONS_ENABLED_INTERP	src/rp2_common/hardware_interp/include/hardware/interp.h:14	Enable/disable assertions in the interpolation module	bool		0		hardware_interp		
PARAM_ASSERTIONS_ENABLED_IRQ	src/rp2_common/hardware_irq/include/hardware/irq.h:106	Enable/disable assertions in the IRQ module	bool		0		hardware_irq		
PARAM_ASSERTIONS_ENABLED_LOCK_CORE	src/common/pico_sync/include/pico/lock_core.h:41	Enable/disable assertions in the lock core	bool		0		pico_sync		
PARAM_ASSERTIONS_ENABLED_PHEAP	src/common/pico_util/include/pico/util/pheap.h:16	Enable/disable assertions in the pheap module	bool		0		pico_util		
PARAM_ASSERTIONS_ENABLED_PIO	src/rp2_common/hardware_pio/include/hardware/pio.h:17	Enable/disable assertions in the PIO module	bool		0		hardware_pio		
PARAM_ASSERTIONS_ENABLED_PIO_INSTRUCTIONS	src/rp2_common/hardware_pio/include/hardware/pio_instructions.h:23	Enable/disable assertions in the PIO instructions	bool		0		pio_instructions		
PARAM_ASSERTIONS_ENABLED_PWM	src/rp2_common/hardware_pwm/include/hardware/pwm.h:18	Enable/disable assertions in the PWM module	bool		0		hardware_pwm		
PARAM_ASSERTIONS_ENABLED_SPI	src/rp2_common/hardware_spi/include/hardware/spi.h:15	Enable/disable assertions in the SPI module	bool		0		hardware_spi		
PARAM_ASSERTIONS_ENABLED_SYNC	src/rp2_common/hardware_sync/include/hardware/sync.h:48	Enable/disable assertions in the HW sync module	bool		0		hardware_sync		
PARAM_ASSERTIONS_ENABLED_TIME	src/common/pico_time/include/pico/time.h:32	Enable/disable assertions in the time module	bool		0		pico_time		
PARAM_ASSERTIONS_ENABLED_TIMER	src/rp2_common/hardware_timer/include/hardware/timer.h:48	Enable/disable assertions in the timer module	bool		0		hardware_timer		
PARAM_ASSERTIONS_ENABLED_UART	src/rp2_common/hardware_uart/include/hardware/uart.h:14	Enable/disable assertions in the UART module	bool		0		hardware_uart		
PARAM_ASSERTIONS_ENABLE_ALL	src/common/pico_base/include/pico/assert.h:21	Global assert enable	bool		0		pico_base		
PICO_BOOTSEL_VIA_DOUBLE_RESET_ACTIVITY_LED	src/rp2_common/pico_bootsel_via_double_reset/pico_bootsel_via_double_reset.c:17	Optionally define a pin to use as bootloader activity LED when BOOTSEL mode is entered via reset double tap	int				pico_bootsel_via_double_reset	29	0
PICO_BOOTSEL_VIA_DOUBLE_RESET_INTERFACE_DISABLE_MASK	src/rp2_common/pico_bootsel_via_double_reset/pico_bootsel_via_double_reset.c:19	Optionally disable either the mass storage interface (bit 0) or the PICOBOOT interface (bit 1) when entering BOOTSEL mode via double reset	int		0		pico_bootsel_via_double_reset	3	0
PICO_BOOTSEL_VIA_DOUBLE_RESET_TIMEOUT_MS	src/rp2_common/pico_bootsel_via_double_reset/pico_bootsel_via_double_reset.c:12	Window of opportunity for a second press of a reset button to enter BOOTSEL mode (milliseconds)	int		200		pico_bootsel_via_double_reset		
PICO_BOOT_STAGE2_CHOOSE_AT25SF128A	src/rp2_common/boot_stage2/include/boot_stage2/config.h:47	Select boot2_at25sf128a as the boot stage 2 when no boot stage 2 selection is made by the CMake build	bool		0		boot_stage2		
PICO_BOOT_STAGE2_CHOOSE_GENERIC_03H	src/rp2_common/boot_stage2/include/boot_stage2/config.h:57	Select boot2_generic_03h as the boot stage 2 when no boot stage 2 selection is made by the CMake build	bool		1		boot_stage2		
PICO_BOOT_STAGE2_CHOOSE_IS25LP080	src/rp2_common/boot_stage2/include/boot_stage2/config.h:20	Select boot2_is25lp080 as the boot stage 2 when no boot stage 2 selection is made by the CMake build	bool		0		boot_stage2		
PICO_BOOT_STAGE2_CHOOSE_W25Q080	src/rp2_common/boot_stage2/include/boot_stage2/config.h:29	Select boot2_w25q080 as the boot stage 2 when no boot stage 2 selection is made by the CMake build	bool		0		boot_stage2		
PICO_BOOT_STAGE2_CHOOSE_W25X10CL	src/rp2_common/boot_stage2/include/boot_stage2/config.h:38	Select boot2_w25x10cl as the boot stage 2 when no boot stage 2 selection is made by the CMake build	bool		0		boot_stage2		
PICO_BUILD_BOOT_STAGE2_NAME	src/rp2_common/boot_stage2/include/boot_stage2/config.h:14	The name of the boot stage 2 if selected by the build					boot_stage2		
PICO_CMSIS_RENAME_EXCEPTIONS	src/rp2_common/cmsis/include/cmsis/rename_exceptions.h:11	Whether to rename SDK exceptions such as isr_nmi to their CMSIS equivalent i.e. NMI_Handler	bool		1		cmsis_core		
PICO_CORE1_STACK_SIZE	src/rp2_common/pico_multicore/include/pico/multicore.h:27	Stack size for core 1			PICO_STACK_SIZE (0x800)		pico_multicore	0x10000	0x100
PICO_DEBUG_MALLOC	src/rp2_common/pico_malloc/include/pico/malloc.h:28	Enable/disable debug printf from malloc	bool		0		pico_malloc		
PICO_DEBUG_MALLOC_LOW_WATER	src/rp2_common/pico_malloc/include/pico/malloc.h:33	Define the lower bound for allocation addresses to be printed by PICO_DEBUG_MALLOC			0		pico_malloc		0
PICO_DEBUG_PIN_BASE	src/rp2_common/hardware_gpio/include/hardware/gpio.h:627	First pin to use for debug output (if enabled)			19		hardware_gpio	28	0
